AIRLINEIATACODE,ID,AIRLINENAME,BIZMODEL,ACTIVESTATUS,GROUPNAME,HUBAIRPORTIATACODE,COUNTRYCODE,STARTDATE,ENDDATE,LOAD_TIME
DK,274,Sunclass Airlines,Charter,1,,CPH,DK,01/01/2000,31/12/2199,
DL,275,Delta Air Lines,Full Service Carrier,1,Delta Air Lines Inc.,ATL,US,01/01/2000,31/12/2199,
DN,276,Air Deccan,Low Cost Carrier,1,,BLR,IN,23/12/2017,31/12/2199,
DO,277,Sky High Aviation Services,Regional/Commuter,1,,SDQ,DO,01/01/2000,31/12/2199,
DP,278,Pobeda,Low Cost Carrier,1,Aeroflot Group,VKO,RU,01/12/2014,31/12/2199,
DQ,279,Alexandria Airlines,Charter,1,,CAI,EG,01/01/2000,31/12/2199,
DR,280,Ruili Airlines,Full Service Carrier,1,,KMG,CN,18/05/2014,31/12/2199,
DS,281,Easyjet Switzerland,Low Cost Carrier,1,Easyjet Plc,GVA,CH,01/01/2000,31/12/2199,
DT,282,Taag,Full Service Carrier,1,,LAD,AO,01/01/2000,31/12/2199,
DV,283,Nantucket Airlines,Regional/Commuter,1,,ACK,US,01/01/2000,31/12/2199,
DV,284,Scat Airlines,Full Service Carrier,1,,CIT,KZ,01/01/2000,31/12/2199,
DW,285,Flycana,Low Cost Carrier,1,,SDQ,DO,01/01/2000,31/12/2199,
DX,286,Dat,Regional/Commuter,1,,EBJ,DK,01/01/2000,31/12/2199,
DY,287,Norwegian Air Shuttle Asa,Low Cost Carrier,1,Norwegian Group,OSL,NO,01/01/2000,31/12/2199,
DZ,288,Donghai Airlines,Full Service Carrier,1,,SZX,CN,01/01/2000,31/12/2199,
E2,289,Eurowings Europe,Low Cost Carrier,1,Deutsche Lufthansa Ag,VIE,AT,23/06/2016,31/12/2199,
E4,290,Enter Air,Charter,1,,WAW,PL,01/01/2000,31/12/2199,
E5,291,Air Arabia Egypt,Low Cost Carrier,1,Air Arabia Group,HBE,EG,22/05/2010,31/12/2199,
E7,292,Equaflight,Regional/Commuter,1,,PNR,CG,01/01/2000,31/12/2199,
E8,293,Tayaran Jet,Charter,1,,,BG,01/01/2000,31/12/2199,
E9,294,Evelop Airlines,Charter,1,BarcelÃ³ Grupo,MAD,ES,01/01/2000,31/12/2199,
EB,295,Wamos Air,Charter,1,,MAD,ES,01/01/2000,31/12/2199,
EC,296,Easyjet Europe,Low Cost Carrier,1,Easyjet Plc,VIE,AT,20/07/2017,31/12/2199,
ED,297,Airexplore,Charter,1,,BTS,SK,01/01/2000,31/12/2199,
EE,298,Regional Jet OÃ¼,Regional/Commuter,1,,TLL,EE,01/01/2000,31/12/2199,
EF,299,Aerolinea Del Caribe - Peru S.A.C.,Charter,1,,LIM,PE,01/01/2000,31/12/2199,
EH,300,Ana Wings,Regional/Commuter,1,Ana Holdings Inc.,HND,JP,01/01/2000,31/12/2199,
EI,301,Aer Lingus,Full Service Carrier,1,International Airlines Group (Iag),DUB,IE,01/01/2000,31/12/2199,
EJ,302,New England Airlines,Regional/Commuter,1,,WST,US,01/01/1970,31/12/2199,
EK,303,Emirates Airline,Full Service Carrier,1,Emirates Group,DXB,AE,01/01/2000,31/12/2199,
EL,304,Ellinair,Full Service Carrier,1,,SKG,GR,01/01/2000,31/12/2199,
EM,305,Empire Airlines,Other,1,,,US,01/01/2000,31/12/2199,
EN,306,Air Dolomiti,Regional/Commuter,1,Deutsche Lufthansa Ag,VRN,IT,01/01/2000,31/12/2199,
EO,307,Pegas Fly (Ikar Airlines),Charter,1,,KJA,RU,01/01/2000,31/12/2199,
EP,308,Iran Aseman Airlines,Regional/Commuter,1,,THR,IR,01/01/2000,31/12/2199,
ER,309,Sereneair,Full Service Carrier,1,,,PK,29/01/2017,31/12/2199,
ES,310,Estelar,Full Service Carrier,1,,CCS,VE,01/01/2000,31/12/2199,
ET,311,Emetebe,Charter,1,,GYE,EC,01/01/2000,31/12/2199,
ET,312,Ethiopian Airlines,Full Service Carrier,1,Ethiopian Airlines Group,ADD,ET,08/04/1946,31/12/2199,
EU,313,Chengdu Airlines,Full Service Carrier,1,China Southern Air Holding Company,CTU,CN,01/01/2000,31/12/2199,
EV,314,Expressjet Airlines, Inc.,Regional/Commuter,1,United Airlines Holdings Inc.,ATL,US,01/01/2000,31/12/2199,
EW,315,Eurowings,Low Cost Carrier,1,Deutsche Lufthansa Ag,DUS,DE,01/01/2000,31/12/2199,
EX,316,Regional Express Americas,Regional/Commuter,1,Avianca Group International Limited,BOG,CO,01/03/2019,31/12/2199,
EY,317,Etihad Airways,Full Service Carrier,1,Etihad Aviation Group,AUH,AE,01/01/2000,31/12/2199,
EZ,318,Sun-Air Of Scandinavia,Charter,1,International Airlines Group (Iag),BLL,DK,01/01/2000,31/12/2199,
F0,319,Fly Jordan,Charter,1,,AMM,JO,09/01/2016,31/12/2199,
F2,320,Safarilink,Regional/Commuter,1,,WIL,KE,01/01/2000,31/12/2199,
F3,321,Flyadeal,Low Cost Carrier,1,Saudia Group,JED,SA,23/09/2017,31/12/2199,
F4,322,Air Flamenco,Regional/Commuter,1,,CPX,PR,01/01/2000,31/12/2199,
F6,323,Buzz Aero,Charter,1,,OTP,RO,01/01/2000,31/12/2199,
F7,324,I-Fly,Charter,1,,VKO,RU,01/01/2000,31/12/2199,
F8,325,Flair Airlines,Low Cost Carrier,1,,YEG,CA,01/01/2000,31/12/2199,
F9,326,Frontier Airlines,Low Cost Carrier,1,Indigo Partners,DEN,US,01/01/2000,31/12/2199,
FA,327,Flysafair,Low Cost Carrier,0,,JNB,ZA,15/10/2014,31/12/2199,
FB,328,Bulgaria Air,Full Service Carrier,1,,SOF,BG,01/01/2000,31/12/2199,
FC,329,Link Airways,Regional/Commuter,1,,BNE,AU,01/01/2000,31/12/2199,
FD,330,Thai Airasia,Low Cost Carrier,1,Capital A Berhad,DMK,TH,01/01/2000,31/12/2199,
FE,331,Seven Four Eight Air Services,,1,,WIL,KE,01/01/1994,31/12/2199,
FG,332,Ariana Afghan Airlines,Full Service Carrier,1,,KBL,AF,01/01/2000,31/12/2199,
FH,333,Freebird Airlines,Charter,1,,ISL,TR,01/01/2000,31/12/2199,
FI,334,Icelandair,Full Service Carrier,1,Icelandair Group,KEF,IS,01/01/2000,31/12/2199,
FJ,335,Fiji Airways,Full Service Carrier,1,Fiji Airways Group,NAN,FJ,01/01/2000,31/12/2199,
FK,336,Keewatin Air,Regional/Commuter,1,,YWG,CA,01/01/2000,31/12/2199,
FL,337,Air Leap,Regional/Commuter,1,,ARN,NO,01/01/2000,31/12/2199,
FM,338,Shanghai Airlines,Full Service Carrier,1,China Eastern Air Holding Company,SHA,CN,01/01/2000,31/12/2199,
FN,339,Fastjet Zimbabwe,Low Cost Carrier,1,,HRE,ZW,28/10/2015,31/12/2199,
FO,340,Flybondi,Low Cost Carrier,1,,COR,AR,01/01/2014,31/12/2199,
FP,341,Flypelican,Regional/Commuter,1,,NTL,AU,01/01/2000,31/12/2199,
FR,342,Ryanair,Low Cost Carrier,1,Ryanair Holdings Plc,STN,IE,08/07/1985,31/12/2199,
FS,343,Flyglobal,Charter,1,,KUL,MY,01/01/2000,31/12/2199,
FT,344,Flyegypt,Low Cost Carrier,1,,CAI,EG,01/01/2000,31/12/2199,
FU,345,Fuzhou Airlines,Full Service Carrier,1,Hainan Airlines Group,FOC,CN,30/10/2014,31/12/2199,
FV,346,Rossiya - Russian Airlines,Full Service Carrier,1,Aeroflot Group,LED,RU,24/08/1994,31/12/2199,
FW,347,Ibex Airlines,Regional/Commuter,1,,SDJ,JP,01/01/2000,31/12/2199,
FW,348,Solenta Aviation Mozambique,Charter,1,,MPM,MZ,01/01/2000,31/12/2199,
FY,349,Firefly,Regional/Commuter,1,Malaysia Airlines Berhad,SZB,MY,01/01/2000,31/12/2199,
FZ,350,Flydubai,Low Cost Carrier,1,,DXB,AE,01/06/2009,31/12/2199,
G0,351,Albatros Airlines,Charter,1,,CCS,VE,01/01/2000,31/12/2199,
G2,352,Galeyr Airline,Regional/Commuter,1,,MGQ,SO,01/01/2000,31/12/2199,
G3,353,Gol,Low Cost Carrier,1,,CGH,BR,15/01/2001,31/12/2199,
G4,354,Allegiant Air,Low Cost Carrier,1,,LAS,US,01/01/2000,31/12/2199,
G5,355,China Express Airlines,Regional/Commuter,1,,CKG,CN,01/01/2000,31/12/2199,
G7,356,Gojet Airlines,Regional/Commuter,1,Trans States Holdings, Inc.,STL,US,01/01/2000,31/12/2199,
G8,357,Go First,Low Cost Carrier,1,,DEL,IN,01/01/2000,31/12/2199,
G9,358,Air Arabia,Low Cost Carrier,1,Air Arabia Group,SHJ,AE,01/01/2000,31/12/2199,
GA,359,Garuda Indonesia,Full Service Carrier,1,Garuda Indonesia Group,CGK,ID,01/01/2000,31/12/2199,
GD,360,Aviair,Regional/Commuter,1,,KNX,AU,01/01/2000,31/12/2199,
GE,361,Global Aviation Operations,Charter,1,,JNB,ZA,01/01/2000,31/12/2199,
GF,362,Gulf Air,Full Service Carrier,1,,BAH,BH,01/01/2000,31/12/2199,
GJ,363,Loong Air,Full Service Carrier,1,,HGH,CN,09/08/2012,31/12/2199,
GK,364,Jetstar Japan,Low Cost Carrier,1,Japan Airlines Co., Ltd.,NRT,JP,01/01/2000,31/12/2199,
GL,365,Air Greenland,Regional/Commuter,1,,SFJ,GL,01/01/2000,31/12/2199,
GM,366,Chair Airlines Ag,Full Service Carrier,1,,ZRH,CH,26/03/2015,31/12/2199,
GP,367,Apg Airlines,Charter,1,,TLS,FR,01/01/2000,31/12/2199,
GQ,368,Sky Express,Regional/Commuter,1,,HER,GR,01/01/2000,31/12/2199,
GR,369,Aurigny Air Services,Regional/Commuter,1,,GCI,GG,01/01/1968,31/12/2199,
GS,370,Tianjin Airlines,Full Service Carrier,1,Hainan Airlines Group,TSN,CN,01/01/2000,31/12/2199,
GT,371,Air Guilin,Low Cost Carrier,1,Hainan Airlines Group,KWL,CN,25/06/2016,31/12/2199,
GU,372,Avianca Guatemala,Regional/Commuter,1,Avianca Group International Limited,GUA,GT,01/01/2000,31/12/2199,
GV,373,Grant Aviation,Regional/Commuter,1,,ANC,US,01/01/2000,31/12/2199,
GW,374,Getjet Airlines,Charter,1,,VNO,LT,01/05/2016,31/12/2199,
GX,375,Guangxi Beibu Gulf Airlines,Full Service Carrier,1,Hainan Airlines Group,NNG,CN,16/02/2015,31/12/2199,
GY,376,Colorful Guizhou Airlines (Duocai Guizhou Airlines),Low Cost Carrier,1,,KWE,CN,31/12/2015,31/12/2199,
GZ,377,Air Rarotonga,Regional/Commuter,1,,RAR,CK,01/01/2000,31/12/2199,
H1,378,Hahn Air Systems,Other,1,,,DE,01/01/2000,31/12/2199,
H2,379,Sky Airline (Chile),Low Cost Carrier,1,,SCL,CL,01/01/2000,31/12/2199,
H4,380,Hisky Europe Srl,Charter,1,,,RO,01/01/2000,31/12/2199,
H5,381,Haiti Aviation,Full Service Carrier,1,,PAP,HT,01/01/2000,31/12/2199,
H6,382,Ravn Connect,Regional/Commuter,1,,ANC,US,06/04/2020,31/12/2199,
H7,383,Eagle Air (Uganda),Regional/Commuter,1,,RUA,UG,01/01/2000,31/12/2199,
H8,384,Sky Peru,Low Cost Carrier,1,,LIM,PE,08/04/2019,31/12/2199,
H9,385,Himalaya Airlines,Full Service Carrier,1,,KTM,NP,12/04/2016,31/12/2199,
HA,386,Hawaiian Airlines,Full Service Carrier,1,,HNL,US,01/01/2000,31/12/2199,
HC,387,Air Senegal,Full Service Carrier,1,,DSS,SN,30/04/2018,31/12/2199,
HD,388,Air Do,Full Service Carrier,1,,CTS,JP,01/01/2000,31/12/2199,
HF,389,Air CÃ´te Dâ€™Ivoire,Full Service Carrier,1,,ABJ,CI,01/01/2000,31/12/2199,
HG,390,Hibernian Airlines,Charter,1,,VLC,ES,01/01/2000,31/12/2199,
HH,391,Taban Air,Full Service Carrier,1,,MHD,IR,01/01/2000,31/12/2199,
HI,392,Papillon Grand Canyon Helicopters,General Aviation,1,,GCW,US,01/01/2000,31/12/2199,
HK,393,Skippers Aviation,Regional/Commuter,1,,PER,AU,01/01/2000,31/12/2199,
HM,394,Air Seychelles,Full Service Carrier,1,Etihad Aviation Group,SEZ,SC,01/01/2000,31/12/2199,
HO,395,Juneyao Air,Full Service Carrier,1,Juneyao Airlines Group,SHA,CN,25/09/2006,31/12/2199,
HP,396,Amapola Flyg,Regional/Commuter,1,,ARN,SE,01/01/2000,31/12/2199,
HQ,397,Sino-Lac Airlines,Charter,1,,ZUH,CN,01/01/2000,31/12/2199,
HR,398,Hahn Air Lines,Charter,1,,DUS,DE,01/01/2000,31/12/2199,
HT,399,Air Horizont,Charter,1,,ZAZ,ES,01/01/2000,31/12/2199,
HU,400,Hainan Airlines,Full Service Carrier,1,Hainan Airlines Group,HAK,CN,01/01/2000,31/12/2199,
HV,401,Transavia,Low Cost Carrier,1,Air France-Klm S.A.,AMS,NL,01/01/2000,31/12/2199,
HW,402,North-Wright Airways,Regional/Commuter,1,,YVQ,CA,01/01/2000,31/12/2199,
HX,403,Hong Kong Airlines,Full Service Carrier,1,Hainan Airlines Group,HKG,HK,01/01/2000,31/12/2199,
HY,404,Helity,Other,1,,,ES,01/01/2000,31/12/2199,
HY,405,Uzbekistan Airways,Full Service Carrier,1,,TAS,UZ,01/01/2000,31/12/2199,
HZ,406,Aurora,Full Service Carrier,1,Aeroflot Group,UUS,RU,08/12/2013,31/12/2199,
I2,407,Iberia Express,Low Cost Carrier,1,International Airlines Group (Iag),MAD,ES,25/03/2012,31/12/2199,
I3,408,Ata Airlines (Iran),Full Service Carrier,1,,TBZ,IR,01/01/2000,31/12/2199,
I4,409,Island Air Express,Regional/Commuter,1,,CGA,US,01/01/2000,31/12/2199,
I5,410,Airasia India,Low Cost Carrier,1,Capital A Berhad,BLR,IN,12/06/2014,31/12/2199,
I6,411,Air Indus,Full Service Carrier,1,,KHI,PK,01/01/2000,31/12/2199,
I7,412,Int Air Iles,,1,,AJN,KM,01/01/2007,31/12/2199,
I8,413,Izhavia,Full Service Carrier,1,,IJK,RU,01/01/2000,31/12/2199,
IA,414,Iraqi Airways,Full Service Carrier,1,,BGW,IQ,01/01/2000,31/12/2199,
IB,415,Iberia,Full Service Carrier,1,International Airlines Group (Iag),MAD,ES,14/12/1927,31/12/2199,
ID,416,Batik Air,Full Service Carrier,1,Lion Group,MDC,ID,01/01/2000,31/12/2199,
IE,417,Solomon Airlines,Full Service Carrier,1,,HIR,SB,01/01/2000,31/12/2199,
IF,418,Fly Baghdad,Full Service Carrier,1,,BGW,IQ,01/01/2000,31/12/2199,
IH,419,Southern Sky Airlines,Regional/Commuter,1,,DMB,KZ,07/12/2014,31/12/2199,
IJ,420,Spring Airlines Japan,Low Cost Carrier,1,Japan Airlines Co., Ltd.,NRT,JP,01/08/2014,31/12/2199,
IK,421,Air Kiribati,Regional/Commuter,1,,TRW,KI,01/04/1995,31/12/2199,
IL,422,Trigana Air,Regional/Commuter,1,,HLP,ID,01/01/2000,31/12/2199,
IN,423,Nam Air,Full Service Carrier,1,Sriwijaya Group,CGK,ID,10/12/2013,31/12/2199,
IO,424,Iraero,Full Service Carrier,1,,IKT,RU,01/01/2000,31/12/2199,
IQ,425,Qazaq Air,Regional/Commuter,1,,NQZ,KZ,28/08/2015,31/12/2199,
IR,426,Iran Air,Full Service Carrier,1,,THR,IR,01/01/2000,31/12/2199,
IS,427,Sepehran Airlines,Full Service Carrier,1,,SYZ,IR,31/01/2017,31/12/2199,
IT,428,Tigerair Taiwan,Low Cost Carrier,1,China Airlines Group,TPE,TW,26/09/2014,31/12/2199,
IV,429,Gp Aviation Ltd,Charter,1,,SOF,BG,01/01/2000,31/12/2199,
IV,430,Vvb Aviation Malta,Charter,1,,MLA,MT,01/01/2000,31/12/2199,
IW,431,Wings Air,Low Cost Carrier,1,Lion Group,SUB,ID,01/01/2000,31/12/2199,
IX,432,Air India Express,Low Cost Carrier,1,Air India Limited,CCJ,IN,01/01/2000,31/12/2199,
IY,433,Yemenia,Full Service Carrier,1,,SAH,YE,01/01/2000,31/12/2199,
IZ,434,Arkia Israeli Airlines,Full Service Carrier,1,,TLV,IL,01/01/2000,31/12/2199,
J0,435,Jam Air Express,Regional/Commuter,1,,,JM,01/01/2000,31/12/2199,
J2,436,Azerbaijan Airlines Azal,Full Service Carrier,1,Cjsc Azerbaijan Airlines (Group Profile),GYD,AZ,01/01/2000,31/12/2199,
J3,437,Northwestern Airlease,Regional/Commuter,1,,YSM,CA,01/01/2000,31/12/2199,
J4,438,Badr Airlines,Charter,1,,KRT,SD,01/01/2000,31/12/2199,
J5,439,Alaska Seaplane,Full Service Carrier,1,,JNU,US,01/01/2000,31/12/2199,
J6,440,Seawings,Charter,1,,,AE,01/01/2000,31/12/2199,
J7,441,Afrijet Business Service,Charter,1,,LBV,GA,01/01/2000,31/12/2199,
J8,442,Berjaya Air,Regional/Commuter,1,,SZB,MY,01/01/2000,31/12/2199,
J9,443,Jazeera Airways,Low Cost Carrier,1,,KWI,KW,01/01/2000,31/12/2199,
JA,444,Jetsmart (Chile),Low Cost Carrier,1,Indigo Partners,SCL,CL,25/07/2017,31/12/2199,
JB,445,Helijet International,Charter,1,,YVR,CA,01/01/2000,31/12/2199,
JC,446,Japan Air Commuter,Regional/Commuter,1,Japan Airlines Co., Ltd.,KOJ,JP,01/01/2000,31/12/2199,
JD,447,Beijing Capital Airlines,Low Cost Carrier,1,Hainan Airlines Group,PKX,CN,01/01/2000,31/12/2199,
JE,448,Mango,Low Cost Carrier,1,South African Airways Group,CPT,ZA,15/11/2006,31/12/2199,
JH,449,Fuji Dream Airlines,Regional/Commuter,1,,FUK,JP,01/01/2000,31/12/2199,
JI,450,Meraj Air,Full Service Carrier,1,,IKA,IR,01/01/2000,31/12/2199,
JJ,451,Latam Airlines Brasil,Full Service Carrier,1,Latam Airlines Group S.A.,GRU,BR,01/01/2000,31/12/2199,
JK,452,Aercaribe,Charter,1,,BOG,CO,01/01/2000,31/12/2199,
JL,453,Japan Airlines,Full Service Carrier,1,Japan Airlines Co.Ltd.,HND,JP,01/01/2000,31/12/2199,
JM,454,Jambojet,Low Cost Carrier,1,Kenya Airways Group,NBO,KE,01/04/2014,31/12/2199,
JN,455,Alaska Air Transit,Charter,1,,MRI,US,01/01/2000,31/12/2199,
JO,456,Jasmin Airways,Charter,1,,NBE,TN,01/01/2000,31/12/2199,
JO,457,Jonika Airlines,Full Service Carrier,1,,IEV,UA,01/01/2000,31/12/2199,
JQ,458,Jetstar Airways,Low Cost Carrier,1,Jetstar Group,MEL,AU,25/05/2004,31/12/2199,
JR,459,Joy Air,Regional/Commuter,1,,XIY,CN,01/01/2000,31/12/2199,
JS,460,Air Koryo,Regional/Commuter,1,,FNJ,KP,01/01/2000,31/12/2199,
JT,461,Lion Air,Low Cost Carrier,1,Lion Group,CGK,ID,01/01/2000,31/12/2199,
JU,462,Air Serbia,Full Service Carrier,1,Etihad Aviation Group,BEG,RS,01/01/2000,31/12/2199,
JV,463,Bearskin Airlines,Regional/Commuter,1,,YSB,CA,01/01/2000,31/12/2199,
JX,464,Starlux Airlines,Full Service Carrier,1,,TPE,TW,23/01/2020,31/12/2199,
JX,465,Dac Aviation,,1,,WIL,KE,01/01/2010,31/12/2199,
JY,466,Intercaribbean Airways,Regional/Commuter,1,,PLS,TC,01/01/2000,31/12/2199,
K2,467,Airlift Alaska,Charter,1,,KDK,US,01/01/2000,31/12/2199,
K3,468,Safe Air Company,Charter,1,,WIL,KE,01/01/2000,31/12/2199,
K3,469,Taquan Air,Regional/Commuter,1,,KTN,US,01/01/2000,31/12/2199,
K4,470,Als Limited,Charter,1,,WIL,KE,01/01/2000,31/12/2199,
K6,471,Cambodia Angkor Air,Full Service Carrier,1,,PNH,KH,01/01/2000,31/12/2199,
K7,472,Air Kbz,Regional/Commuter,1,,RGN,MM,01/01/2000,31/12/2199,
K9,473,Kalitta Charters,Charter,1,,YIP,US,01/01/2000,31/12/2199,
KB,474,Druk Air,Full Service Carrier,1,,PBH,BT,01/01/2000,31/12/2199,
KB,475,Kostroma Air,Charter,1,,KMW,RU,01/01/2000,31/12/2199,
KC,476,Air Astana,Full Service Carrier,1,Air Astana Group,ALA,KZ,15/05/2002,31/12/2199,
KE,477,Korean Air,Full Service Carrier,1,Korean Air Group,ICN,KR,01/03/1969,31/12/2199,
KF,478,Air Belgium,Full Service Carrier,1,,CRL,BE,01/05/2018,31/12/2199,
KG,479,Key Lime Air,Charter,1,,APA,US,01/01/2000,31/12/2199,
KI,480,Kaiser Air,,1,,OAK,US,01/01/2000,31/12/2199,
KV,481,Krasavia,Regional/Commuter,1,,KJA,RU,01/10/2022,31/12/2199,
KL,482,Klm Royal Dutch Airlines,Full Service Carrier,1,Air France-Klm S.A.,AMS,NL,07/10/1919,31/12/2199,
KM,483,Air Malta,Full Service Carrier,1,,MLA,MT,01/01/2000,31/12/2199,
KN,484,China United Airlines,Low Cost Carrier,1,China Eastern Air Holding Company,PKX,CN,26/12/1986,31/12/2199,
KO,485,Alaska Central Express,Charter,1,,ANC,US,01/01/2000,31/12/2199,
KP,486,Asky Airlines,Full Service Carrier,1,Ethiopian Airlines Group,LFW,TG,01/01/2000,31/12/2199,
KQ,487,Kenya Airways,Full Service Carrier,1,Kenya Airways Group,NBO,KE,01/01/2000,31/12/2199,
KR,488,Cambodia Airways,Full Service Carrier,1,,PNH,KH,10/07/2018,31/12/2199,
KT,489,Mahogany Air,Regional/Commuter,1,,LUN,ZM,01/03/2014,31/12/2199,
KU,490,Kuwait Airways,Full Service Carrier,1,,KWI,KW,01/01/2000,31/12/2199,
KW,491,Korea Express Air,Charter,1,,YNY,KR,01/01/2000,31/12/2199,
KX,492,Cayman Airways,Full Service Carrier,1,,GCM,KY,01/01/2000,31/12/2199,
KY,493,Kunming Airlines,Full Service Carrier,1,Air China Limited,KMG,CN,15/02/2009,31/12/2199,
L0,494,Reliant Air Charter,Charter,1,,DXR,US,01/01/2000,31/12/2199,
L4,495,Lauda Air Italy,Charter,1,,MXP,IT,01/01/2000,31/12/2199,
L5,496,Lufttransport,General Aviation,0,,VRY,NO,01/01/2000,31/12/2199,
L5,497,Red Air Srl,Charter,0,,,DO,01/01/2000,31/12/2199,
L6,498,Mauritania Airlines,Full Service Carrier,1,,NKC,MR,01/01/2000,31/12/2199,
L6,499,Tbilaviamsheni Georgia,Charter,1,,TBS,GE,01/01/2000,31/12/2199,
L8,500,Lynden Air Cargo Png,Charter,1,,LAE,PG,01/01/2000,31/12/2199,
L8,501,Lulutai Airlines,Regional/Commuter,1,,TBU,TO,24/09/2020,31/12/2199,
L9,502,Bristow U.S. Llc,Other,1,,,US,01/01/2000,31/12/2199,
L9,503,Lumiwings,Full Service Carrier,1,,ATH,GR,01/05/2018,31/12/2199,
LA,504,Latam Airlines,Full Service Carrier,1,Latam Airlines Group S.A.,SCL,CL,01/01/2000,31/12/2199,
LB,505,Bul Air,Charter,1,,SOF,BG,01/01/2000,31/12/2199,
LC,506,Skyway Costa Rica,Full Service Carrier,1,,SJO,CR,22/10/2018,31/12/2199,
LE,507,Norwegian Air Sweden,Low Cost Carrier,1,Norwegian Group,ARN,SE,01/01/2000,31/12/2199,
LF,508,Contour Airlines,Regional/Commuter,1,,BNA,US,01/12/2015,31/12/2199,
LG,509,Luxair,Regional/Commuter,1,,LUX,LU,01/01/2000,31/12/2199,
LH,510,Lufthansa,Full Service Carrier,1,Deutsche Lufthansa Ag,FRA,DE,01/01/2000,31/12/2199,
LI,511,Liat,Regional/Commuter,1,,ANU,AG,01/01/2000,31/12/2199,
LJ,512,Jin Air,Low Cost Carrier,1,Korean Air Group,ICN,KR,01/01/2000,31/12/2199,
LK,513,Lao Skyway,Regional/Commuter,1,,VTE,LA,01/01/2000,31/12/2199,
LL,514,Miami Air International,Charter,1,,MIA,US,01/01/2000,31/12/2199,
LM,515,Loganair,Regional/Commuter,1,Airline Investments Limited,GLA,GB,01/01/2000,31/12/2199,
LN,516,Libyan Airlines,Full Service Carrier,1,,TIP,LY,01/01/2000,31/12/2199,
LO,517,Lot Polish Airlines,Full Service Carrier,1,Polish Aviation Group,WAW,PL,01/01/1929,31/12/2199,
LP,518,Latam Airlines Peru,Full Service Carrier,1,Latam Airlines Group S.A.,LIM,PE,01/01/2000,31/12/2199,
LQ,519,Lanmei Airlines,Low Cost Carrier,1,,PNH,KH,01/09/2017,31/12/2199,
LR,520,Avianca Costa Rica,Full Service Carrier,1,Avianca Group International Limited,SJO,CR,01/01/2000,31/12/2199,
LS,521,Jet2.Com,Low Cost Carrier,1,,LBA,GB,01/01/2000,31/12/2199,
LT,522,Longjiang Airlines,Full Service Carrier,1,,HRB,CN,10/02/2017,31/12/2199,
LU,523,Latam Airlines Chile,Regional/Commuter,1,Latam Airlines Group S.A.,SCL,CL,01/01/2000,31/12/2199,
LV,524,Level France,Low Cost Carrier,1,International Airlines Group (Iag),ORY,FR,02/09/2018,31/12/2199,
LW,525,Lauda Europe,Low Cost Carrier,1,Ryanair Holdings Plc,MLA,MT,14/09/2020,31/12/2199,
LX,526,Swiss,Full Service Carrier,1,Deutsche Lufthansa Ag,ZRH,CH,01/01/2000,31/12/2199,
LY,527,El Al Israel Airlines,Full Service Carrier,1,El Al Group,TLV,IL,01/01/2000,31/12/2199,
M0,528,Aero Mongolia,Full Service Carrier,1,,UBN,MN,01/01/2000,31/12/2199,
M2,529,Mhs Aviation,Charter,1,,MHG,DE,01/01/2000,31/12/2199,
M5,530,Kenmore Air,Regional/Commuter,1,,BFI,US,01/01/2000,31/12/2199,
M8,531,Skyjet Airlines,Full Service Carrier,1,,MNL,PH,01/01/2000,31/12/2199,
M8,532,Trans Maldivian Airways,Regional/Commuter,1,,MLE,MV,01/01/2000,31/12/2199,
M9,533,Motor Sich Airlines,Charter,1,,OZH,UA,01/01/2000,31/12/2199,
MD,534,Air Madagascar,Full Service Carrier,1,,TNR,MG,15/12/1961,31/12/2199,
ME,535,Middle East Airlines,Full Service Carrier,1,,BEY,LB,01/01/2000,31/12/2199,
MF,536,Xiamen Airlines,Full Service Carrier,1,China Southern Air Holding Company,XMN,CN,01/01/2000,31/12/2199,
MG,537,Eznis Airways,Regional/Commuter,1,,ULN,MN,01/01/2000,31/12/2199,
