PROVINCECODE,ID,COUNTRYCODE,PROVINCENAME,LOAD_TIME
IR-29,1195,IR,"Khorasan-e Jonubi",
IR-30,1196,IR,"Alborz",
IS-1,1197,IS,"Hofudborgarsvaedi",
IS-2,1198,IS,"Sudurnes",
IS-3,1199,IS,"Vesturland",
IS-4,1200,IS,"Vestfirdir",
IS-5,1201,IS,"Nordurland vestra",
IS-6,1202,IS,"Nordurland eystra",
IS-7,1203,IS,"Austurland",
IS-8,1204,IS,"Sudurland",
IT-21,1205,IT,"Piemonte",
IT-23,1206,IT,"Valle d'Aosta",
IT-25,1207,IT,"Lombardia",
IT-32,1208,IT,"Trentino-Alto Adige",
IT-34,1209,IT,"Veneto",
IT-36,1210,IT,"Friuli-Venezia Giulia",
IT-42,1211,IT,"Liguria",
IT-45,1212,IT,"Emilia-Romagna",
IT-52,1213,IT,"Toscana",
IT-55,1214,IT,"Umbria",
IT-57,1215,IT,"Marche",
IT-62,1216,IT,"Lazio",
IT-65,1217,IT,"Abruzzo",
IT-67,1218,IT,"Molise",
IT-72,1219,IT,"Campania",
IT-75,1220,IT,"Puglia",
IT-77,1221,IT,"Basilicata",
IT-78,1222,IT,"Calabria",
IT-82,1223,IT,"Sicilia",
IT-88,1224,IT,"Sardegna",
JM-01,1225,JM,"Kingston",
JM-02,1226,JM,"Saint Andrew",
JM-03,1227,JM,"Saint Thomas",
JM-04,1228,JM,"Portland",
JM-05,1229,JM,"Saint Mary",
JM-06,1230,JM,"Saint Ann",
JM-07,1231,JM,"Trelawny",
JM-08,1232,JM,"Saint James",
JM-09,1233,JM,"Hanover",
JM-10,1234,JM,"Westmoreland",
JM-11,1235,JM,"Saint Elizabeth",
JM-12,1236,JM,"Manchester",
JM-13,1237,JM,"Clarendon",
JM-14,1238,JM,"Saint Catherine",
JO-AJ,1239,JO,"'Ajlun",
JO-AM,1240,JO,"Al 'Asimah",
JO-AQ,1241,JO,"Al 'Aqabah",
JO-AT,1242,JO,"At Tafilah",
JO-AZ,1243,JO,"Az Zarqa'",
JO-BA,1244,JO,"Al Balqa'",
JO-IR,1245,JO,"Irbid",
JO-JA,1246,JO,"Jarash",
JO-KA,1247,JO,"Al Karak",
JO-MA,1248,JO,"Al Mafraq",
JO-MD,1249,JO,"Madaba",
JO-MN,1250,JO,"Ma'an",
JP-01,1251,JP,"Hokkaido",
JP-02,1252,JP,"Aomori",
JP-03,1253,JP,"Iwate",
JP-04,1254,JP,"Miyagi",
JP-05,1255,JP,"Akita",
JP-06,1256,JP,"Yamagata",
JP-07,1257,JP,"Fukushima",
JP-08,1258,JP,"Ibaraki",
JP-09,1259,JP,"Tochigi",
JP-10,1260,JP,"Gunma",
JP-11,1261,JP,"Saitama",
JP-12,1262,JP,"Chiba",
JP-13,1263,JP,"Tokyo",
JP-14,1264,JP,"Kanagawa",
JP-15,1265,JP,"Niigata",
JP-16,1266,JP,"Toyama",
JP-17,1267,JP,"Ishikawa",
JP-18,1268,JP,"Fukui",
JP-19,1269,JP,"Yamanashi",
JP-20,1270,JP,"Nagano",
JP-21,1271,JP,"Gifu",
JP-22,1272,JP,"Shizuoka",
JP-23,1273,JP,"Aichi",
JP-24,1274,JP,"Mie",
JP-25,1275,JP,"Shiga",
JP-26,1276,JP,"Kyoto",
JP-27,1277,JP,"Osaka",
JP-28,1278,JP,"Hyogo",
JP-29,1279,JP,"Nara",
JP-30,1280,JP,"Wakayama",
JP-31,1281,JP,"Tottori",
JP-32,1282,JP,"Shimane",
JP-33,1283,JP,"Okayama",
JP-34,1284,JP,"Hiroshima",
JP-35,1285,JP,"Yamaguchi",
JP-36,1286,JP,"Tokushima",
JP-37,1287,JP,"Kagawa",
JP-38,1288,JP,"Ehime",
JP-39,1289,JP,"Kochi",
JP-40,1290,JP,"Fukuoka",
JP-41,1291,JP,"Saga",
JP-42,1292,JP,"Nagasaki",
JP-43,1293,JP,"Kumamoto",
JP-44,1294,JP,"Oita",
JP-45,1295,JP,"Miyazaki",
JP-46,1296,JP,"Kagoshima",
JP-47,1297,JP,"Okinawa",
KE-01,1298,KE,"Baringo",
KE-02,1299,KE,"Bomet",
KE-03,1300,KE,"Bungoma",
KE-04,1301,KE,"Busia",
KE-05,1302,KE,"Elgeyo/Marakwet",
KE-06,1303,KE,"Embu",
KE-07,1304,KE,"Garissa",
KE-08,1305,KE,"Homa Bay",
KE-09,1306,KE,"Isiolo",
KE-10,1307,KE,"Kajiado",
KE-11,1308,KE,"Kakamega",
KE-12,1309,KE,"Kericho",
KE-13,1310,KE,"Kiambu",
KE-14,1311,KE,"Kilifi",
KE-15,1312,KE,"Kirinyaga",
KE-16,1313,KE,"Kisii",
KE-17,1314,KE,"Kisumu",
KE-18,1315,KE,"Kitui",
KE-19,1316,KE,"Kwale",
KE-20,1317,KE,"Laikipia",
KE-21,1318,KE,"Lamu",
KE-22,1319,KE,"Machakos",
KE-23,1320,KE,"Makueni",
KE-24,1321,KE,"Mandera",
KE-25,1322,KE,"Marsabit",
KE-26,1323,KE,"Meru",
KE-27,1324,KE,"Migori",
KE-28,1325,KE,"Mombasa",
KE-29,1326,KE,"Murang'a",
KE-30,1327,KE,"Nairobi City",
KE-31,1328,KE,"Nakuru",
KE-32,1329,KE,"Nandi",
KE-33,1330,KE,"Narok",
KE-34,1331,KE,"Nyamira",
KE-35,1332,KE,"Nyandarua",
KE-36,1333,KE,"Nyeri",
KE-37,1334,KE,"Samburu",
KE-38,1335,KE,"Siaya",
KE-39,1336,KE,"Taita/Taveta",
KE-40,1337,KE,"Tana River",
KE-41,1338,KE,"Tharaka-Nithi",
KE-42,1339,KE,"Trans Nzoia",
KE-43,1340,KE,"Turkana",
KE-44,1341,KE,"Uasin Gishu",
KE-45,1342,KE,"Vihiga",
KE-46,1343,KE,"Wajir",
KE-47,1344,KE,"West Pokot",
KG-B,1345,KG,"Batken",
KG-C,1346,KG,"Chuy",
KG-GB,1347,KG,"Bishkek Shaary",
KG-GO,1348,KG,"Osh Shaary",
KG-J,1349,KG,"Jalal-Abad",
KG-N,1350,KG,"Naryn",
KG-T,1351,KG,"Talas",
KG-Y,1352,KG,"Ysyk-Kol",
KH-1,1353,KH,"Banteay Mean Choay",
KH-10,1354,KH,"Kracheh",
KH-11,1355,KH,"Mondol Kiri",
KH-12,1356,KH,"Phnom Penh",
KH-13,1357,KH,"Preah Vihear",
KH-14,1358,KH,"Prey Veaeng",
KH-16,1359,KH,"Rotanak Kiri",
KH-17,1360,KH,"Siem Reab",
KH-18,1361,KH,"Preah Sihanouk",
KH-19,1362,KH,"Stueng Traeng",
KH-2,1363,KH,"Baat Dambang",
KH-20,1364,KH,"Svaay Rieng",
KH-21,1365,KH,"Taakaev",
KH-23,1366,KH,"Kaeb",
KH-24,1367,KH,"Pailin",
KH-3,1368,KH,"Kampong Chaam",
KH-4,1369,KH,"Kampong Chhnang",
KH-5,1370,KH,"Kampong Spueu",
KH-6,1371,KH,"Kampong Thum",
KH-7,1372,KH,"Kampot",
KH-8,1373,KH,"Kandaal",
KI-G,1374,KI,"Gilbert Islands",
KI-L,1375,KI,"Line Islands",
KM-G,1376,KM,"Grande Comore",
KM-M,1377,KM,"Moheli",
KN-01,1378,KN,"Christ Church Nichola Town",
KN-02,1379,KN,"Saint Anne Sandy Point",
KN-03,1380,KN,"Saint George Basseterre",
KN-05,1381,KN,"Saint James Windward",
KN-06,1382,KN,"Saint John Capisterre",
KN-07,1383,KN,"Saint John Figtree",
KN-08,1384,KN,"Saint Mary Cayon",
KN-09,1385,KN,"Saint Paul Capisterre",
KN-10,1386,KN,"Saint Paul Charlestown",
KN-11,1387,KN,"Saint Peter Basseterre",
KN-12,1388,KN,"Saint Thomas Lowland",
KN-13,1389,KN,"Saint Thomas Middle Island",
KN-15,1390,KN,"Trinity Palmetto Point",
KP-01,1391,KP,"P'yongyang",
KR-11,1392,KR,"Seoul-teukbyeolsi",
KR-26,1393,KR,"Busan-gwangyeoksi",
KR-27,1394,KR,"Daegu-gwangyeoksi",
KR-28,1395,KR,"Incheon-gwangyeoksi",
KR-29,1396,KR,"Gwangju-gwangyeoksi",
KR-30,1397,KR,"Daejeon-gwangyeoksi",
KR-31,1398,KR,"Ulsan-gwangyeoksi",
KR-41,1399,KR,"Gyeonggi-do",
KR-42,1400,KR,"Gangwon-do",
KR-43,1401,KR,"Chungcheongbuk-do",
KR-44,1402,KR,"Chungcheongnam-do",
KR-45,1403,KR,"Jeollabuk-do",
KR-46,1404,KR,"Jeollanam-do",
KR-47,1405,KR,"Gyeongsangbuk-do",
KR-48,1406,KR,"Gyeongsangnam-do",
KR-49,1407,KR,"Jeju-teukbyeoljachido",
KW-AH,1408,KW,"Al Ahmadi",
KW-FA,1409,KW,"Al Farwaniyah",
KW-HA,1410,KW,"Hawalli",
KW-JA,1411,KW,"Al Jahra'",
KW-KU,1412,KW,"Al 'Asimah",
KW-MU,1413,KW,"Mubarak al Kabir",
KZ-10,1414,KZ,"Abay oblysy",
KZ-11,1415,KZ,"Aqmola oblysy",
KZ-15,1416,KZ,"Aqtobe oblysy",
KZ-19,1417,KZ,"Almaty oblysy",
KZ-23,1418,KZ,"Atyrau oblysy",
KZ-27,1419,KZ,"Batys Qazaqstan oblysy",
KZ-31,1420,KZ,"Zhambyl oblysy",
KZ-33,1421,KZ,"Zhetisu oblysy",
KZ-35,1422,KZ,"Qaraghandy oblysy",
KZ-39,1423,KZ,"Qostanay oblysy",
KZ-43,1424,KZ,"Qyzylorda oblysy",
KZ-47,1425,KZ,"Mangghystau oblysy",
KZ-55,1426,KZ,"Pavlodar oblysy",
KZ-59,1427,KZ,"Soltustik Qazaqstan oblysy",
KZ-61,1428,KZ,"Turkistan oblysy",
KZ-62,1429,KZ,"Ulytau oblysy",
KZ-63,1430,KZ,"Shyghys Qazaqstan oblysy",
KZ-71,1431,KZ,"Astana",
KZ-75,1432,KZ,"Almaty",
KZ-79,1433,KZ,"Shymkent",
LA-BK,1434,LA,"Bokeo",
LA-BL,1435,LA,"Bolikhamxai",
LA-CH,1436,LA,"Champasak",
LA-KH,1437,LA,"Khammouan",
LA-LP,1438,LA,"Louangphabang",
LA-OU,1439,LA,"Oudomxai",
LA-PH,1440,LA,"Phongsali",
LA-SL,1441,LA,"Salavan",
LA-SV,1442,LA,"Savannakhet",
LA-VI,1443,LA,"Viangchan",
LA-XE,1444,LA,"Xekong",
LA-XI,1445,LA,"Xiangkhouang",
LB-AK,1446,LB,"Aakkar",
LB-AS,1447,LB,"Liban-Nord",
LB-BA,1448,LB,"Beyrouth",
LB-BH,1449,LB,"Baalbek-Hermel",
LB-BI,1450,LB,"Beqaa",
LB-JA,1451,LB,"Liban-Sud",
LB-JL,1452,LB,"Mont-Liban",
LB-NA,1453,LB,"Nabatiye",
LC-01,1454,LC,"Anse la Raye",
LC-02,1455,LC,"Castries",
LC-03,1456,LC,"Choiseul",
LC-05,1457,LC,"Dennery",
LC-06,1458,LC,"Gros Islet",
LC-07,1459,LC,"Laborie",
LC-08,1460,LC,"Micoud",
LC-10,1461,LC,"Soufriere",
LC-11,1462,LC,"Vieux Fort",
LI-01,1463,LI,"Balzers",
LI-02,1464,LI,"Eschen",
LI-03,1465,LI,"Gamprin",
LI-04,1466,LI,"Mauren",
LI-06,1467,LI,"Ruggell",
LI-07,1468,LI,"Schaan",
LI-09,1469,LI,"Triesen",
LI-10,1470,LI,"Triesenberg",
LI-11,1471,LI,"Vaduz",
LK-1,1472,LK,"Western Province",
LK-2,1473,LK,"Central Province",
LK-3,1474,LK,"Southern Province",
LK-4,1475,LK,"Northern Province",
LK-5,1476,LK,"Eastern Province",
LK-6,1477,LK,"North Western Province",
LK-7,1478,LK,"North Central Province",
LK-8,1479,LK,"Uva Province",
LK-9,1480,LK,"Sabaragamuwa Province",
LR-BG,1481,LR,"Bong",
LR-BM,1482,LR,"Bomi",
LR-CM,1483,LR,"Grand Cape Mount",
LR-GG,1484,LR,"Grand Gedeh",
LR-MG,1485,LR,"Margibi",
LR-MO,1486,LR,"Montserrado",
LR-RI,1487,LR,"River Cess",
LR-SI,1488,LR,"Sinoe",
LS-A,1489,LS,"Maseru",
LS-B,1490,LS,"Botha-Bothe",
LS-C,1491,LS,"Leribe",
LS-D,1492,LS,"Berea",
LS-E,1493,LS,"Mafeteng",
LS-F,1494,LS,"Mohale's Hoek",
LS-G,1495,LS,"Quthing",
LS-H,1496,LS,"Qacha's Nek",
LS-J,1497,LS,"Mokhotlong",
LS-K,1498,LS,"Thaba-Tseka",
LT-AL,1499,LT,"Alytaus apskritis",
LT-KL,1500,LT,"Klaipedos apskritis",
LT-KU,1501,LT,"Kauno apskritis",
LT-MR,1502,LT,"Marijampoles apskritis",
LT-PN,1503,LT,"Panevezio apskritis",
LT-SA,1504,LT,"Siauliu apskritis",
LT-TA,1505,LT,"Taurages apskritis",
LT-TE,1506,LT,"Telsiu apskritis",
LT-UT,1507,LT,"Utenos apskritis",
LT-VL,1508,LT,"Vilniaus apskritis",
LU-CA,1509,LU,"Capellen",
LU-CL,1510,LU,"Clervaux",
LU-DI,1511,LU,"Diekirch",
LU-EC,1512,LU,"Echternach",
LU-ES,1513,LU,"Esch-sur-Alzette",
LU-GR,1514,LU,"Grevenmacher",
LU-LU,1515,LU,"Luxembourg",
LU-ME,1516,LU,"Mersch",
LU-RD,1517,LU,"Redange",
LU-RM,1518,LU,"Remich",
LU-VD,1519,LU,"Vianden",
LU-WI,1520,LU,"Wiltz",
LV-002,1521,LV,"Aizkraukles novads",
LV-007,1522,LV,"Aluksnes novads",
LV-011,1523,LV,"Adazu novads",
LV-015,1524,LV,"Balvu novads",
LV-016,1525,LV,"Bauskas novads",
LV-022,1526,LV,"Cesu novads",
LV-026,1527,LV,"Dobeles novads",
LV-033,1528,LV,"Gulbenes novads",
LV-041,1529,LV,"Jelgavas novads",
LV-042,1530,LV,"Jekabpils novads",
LV-047,1531,LV,"Kraslavas novads",
LV-050,1532,LV,"Kuldigas novads",
LV-052,1533,LV,"Kekavas novads",
LV-054,1534,LV,"Limbazu novads",
LV-056,1535,LV,"Livanu novads",
LV-058,1536,LV,"Ludzas novads",
LV-059,1537,LV,"Madonas novads",
LV-062,1538,LV,"Marupes novads",
LV-067,1539,LV,"Ogres novads",
LV-068,1540,LV,"Olaines novads",
LV-073,1541,LV,"Preilu novads",
LV-077,1542,LV,"Rezeknes novads",
LV-080,1543,LV,"Ropazu novads",
LV-087,1544,LV,"Salaspils novads",
LV-088,1545,LV,"Saldus novads",
LV-089,1546,LV,"Saulkrastu novads",
LV-091,1547,LV,"Siguldas novads",
LV-094,1548,LV,"Smiltenes novads",
LV-097,1549,LV,"Talsu novads",
LV-099,1550,LV,"Tukuma novads",
LV-101,1551,LV,"Valkas novads",
LV-102,1552,LV,"Varaklanu novads",
LV-106,1553,LV,"Ventspils novads",
LV-111,1554,LV,"Augsdaugavas novads",
LV-112,1555,LV,"Dienvidkurzemes novads",
LV-113,1556,LV,"Valmieras novads",
LV-DGV,1557,LV,"Daugavpils",
LV-JEL,1558,LV,"Jelgava",
LV-JUR,1559,LV,"Jurmala",
LV-LPX,1560,LV,"Liepaja",
LV-RIX,1561,LV,"Riga",
LY-BA,1562,LY,"Banghazi",
LY-BU,1563,LY,"Al Butnan",
LY-DR,1564,LY,"Darnah",
LY-JA,1565,LY,"Al Jabal al Akhdar",
LY-JG,1566,LY,"Al Jabal al Gharbi",
LY-JI,1567,LY,"Al Jafarah",
LY-JU,1568,LY,"Al Jufrah",
LY-KF,1569,LY,"Al Kufrah",
LY-MB,1570,LY,"Al Marqab",
LY-MI,1571,LY,"Misratah",
LY-MJ,1572,LY,"Al Marj",
LY-NL,1573,LY,"Nalut",
LY-NQ,1574,LY,"An Nuqat al Khams",
LY-SB,1575,LY,"Sabha",
LY-SR,1576,LY,"Surt",
LY-TB,1577,LY,"Tarabulus",
LY-WA,1578,LY,"Al Wahat",
LY-WD,1579,LY,"Wadi al Hayat",
LY-WS,1580,LY,"Wadi ash Shati'",
LY-ZA,1581,LY,"Az Zawiyah",
MA-01,1582,MA,"Tanger-Tetouan-Al Hoceima",
MA-02,1583,MA,"L'Oriental",
MA-03,1584,MA,"Fes- Meknes",
MA-04,1585,MA,"Rabat-Sale-Kenitra",
MA-05,1586,MA,"Beni-Mellal-Khenifra",
MA-06,1587,MA,"Casablanca-Settat",
MA-07,1588,MA,"Marrakech-Safi",
MA-08,1589,MA,"Draa-Tafilalet",
MA-09,1590,MA,"Souss-Massa",
MA-10,1591,MA,"Guelmim-Oued Noun (EH-partial)",
MA-11,1592,MA,"Laayoune-Sakia El Hamra (EH-partial)",
MC-CO,1593,MC,"La Condamine",
MC-FO,1594,MC,"Fontvieille",
MC-MC,1595,MC,"Monte-Carlo",
MC-MG,1596,MC,"Moneghetti",
MC-MO,1597,MC,"Monaco-Ville",
MC-SR,1598,MC,"Saint-Roman",
MD-AN,1599,MD,"Anenii Noi",
MD-BA,1600,MD,"Balti",
MD-BD,1601,MD,"Bender",
MD-BR,1602,MD,"Briceni",
MD-BS,1603,MD,"Basarabeasca",
MD-CA,1604,MD,"Cahul",
MD-CL,1605,MD,"Calarasi",
MD-CM,1606,MD,"Cimislia",
MD-CR,1607,MD,"Criuleni",
MD-CS,1608,MD,"Causeni",
MD-CT,1609,MD,"Cantemir",
MD-CU,1610,MD,"Chisinau",
MD-DO,1611,MD,"Donduseni",
MD-DR,1612,MD,"Drochia",
MD-DU,1613,MD,"Dubasari",
MD-ED,1614,MD,"Edinet",
MD-FA,1615,MD,"Falesti",
MD-FL,1616,MD,"Floresti",
MD-GA,1617,MD,"Gagauzia, Unitatea teritoriala autonoma",
MD-GL,1618,MD,"Glodeni",
MD-HI,1619,MD,"Hincesti",
MD-IA,1620,MD,"Ialoveni",
MD-LE,1621,MD,"Leova",
MD-NI,1622,MD,"Nisporeni",
MD-OC,1623,MD,"Ocnita",
MD-OR,1624,MD,"Orhei",
MD-RE,1625,MD,"Rezina",
MD-RI,1626,MD,"Riscani",
MD-SD,1627,MD,"Soldanesti",
MD-SI,1628,MD,"Singerei",
MD-SN,1629,MD,"Stinga Nistrului, unitatea teritoriala din",
MD-SO,1630,MD,"Soroca",
MD-ST,1631,MD,"Straseni",
MD-SV,1632,MD,"Stefan Voda",
MD-TA,1633,MD,"Taraclia",
MD-TE,1634,MD,"Telenesti",
MD-UN,1635,MD,"Ungheni",
ME-01,1636,ME,"Andrijevica",
ME-02,1637,ME,"Bar",
ME-03,1638,ME,"Berane",
ME-04,1639,ME,"Bijelo Polje",
ME-05,1640,ME,"Budva",
ME-06,1641,ME,"Cetinje",
ME-07,1642,ME,"Danilovgrad",
ME-08,1643,ME,"Herceg-Novi",
ME-09,1644,ME,"Kolasin",
ME-10,1645,ME,"Kotor",
ME-12,1646,ME,"Niksic",
ME-13,1647,ME,"Plav",
ME-14,1648,ME,"Pljevlja",
ME-15,1649,ME,"Pluzine",
ME-16,1650,ME,"Podgorica",
ME-17,1651,ME,"Rozaje",
ME-19,1652,ME,"Tivat",
ME-20,1653,ME,"Ulcinj",
ME-21,1654,ME,"Zabljak",
ME-24,1655,ME,"Tuzi",
MG-A,1656,MG,"Toamasina",
MG-D,1657,MG,"Antsiranana",
MG-F,1658,MG,"Fianarantsoa",
MG-M,1659,MG,"Mahajanga",
MG-T,1660,MG,"Antananarivo",
MG-U,1661,MG,"Toliara",
MH-KWA,1662,MH,"Kwajalein",
MH-MAJ,1663,MH,"Majuro",
MK-101,1664,MK,"Veles",
MK-102,1665,MK,"Gradsko",
MK-103,1666,MK,"Demir Kapija",
MK-104,1667,MK,"Kavadarci",
MK-105,1668,MK,"Lozovo",
MK-106,1669,MK,"Negotino",
MK-107,1670,MK,"Rosoman",
MK-108,1671,MK,"Sveti Nikole",
MK-109,1672,MK,"Caska",
MK-201,1673,MK,"Berovo",
MK-202,1674,MK,"Vinica",
MK-205,1675,MK,"Karbinci",
MK-206,1676,MK,"Kocani",
MK-207,1677,MK,"Makedonska Kamenica",
MK-208,1678,MK,"Pehcevo",
MK-209,1679,MK,"Probistip",
MK-211,1680,MK,"Stip",
MK-301,1681,MK,"Vevcani",
MK-303,1682,MK,"Debar",
MK-307,1683,MK,"Kicevo",
MK-308,1684,MK,"Makedonski Brod",
MK-310,1685,MK,"Ohrid",
MK-312,1686,MK,"Struga",
MK-401,1687,MK,"Bogdanci",
MK-402,1688,MK,"Bosilovo",
MK-403,1689,MK,"Valandovo",
MK-404,1690,MK,"Vasilevo",
MK-405,1691,MK,"Gevgelija",
MK-406,1692,MK,"Dojran",
MK-408,1693,MK,"Novo Selo",
MK-409,1694,MK,"Radovis",
MK-410,1695,MK,"Strumica",
MK-501,1696,MK,"Bitola",
MK-502,1697,MK,"Demir Hisar",
MK-503,1698,MK,"Dolneni",
MK-504,1699,MK,"Krivogastani",
MK-505,1700,MK,"Krusevo",
MK-506,1701,MK,"Mogila",
MK-507,1702,MK,"Novaci",
MK-508,1703,MK,"Prilep",
MK-509,1704,MK,"Resen",
MK-601,1705,MK,"Bogovinje",
MK-602,1706,MK,"Brvenica",
MK-604,1707,MK,"Gostivar",
MK-605,1708,MK,"Zelino",
MK-606,1709,MK,"Jegunovce",
MK-607,1710,MK,"Mavrovo i Rostusa",
MK-608,1711,MK,"Tearce",
MK-609,1712,MK,"Tetovo",
MK-701,1713,MK,"Kratovo",
MK-702,1714,MK,"Kriva Palanka",
MK-703,1715,MK,"Kumanovo",
MK-704,1716,MK,"Lipkovo",
MK-705,1717,MK,"Rankovce",
MK-803,1718,MK,"Butel",
MK-804,1719,MK,"Gazi Baba",
MK-806,1720,MK,"Zelenikovo",
MK-807,1721,MK,"Ilinden",
MK-809,1722,MK,"Kisela Voda",
MK-810,1723,MK,"Petrovec",
MK-811,1724,MK,"Saraj",
MK-813,1725,MK,"Studenicani",
MK-814,1726,MK,"Centar",
MK-816,1727,MK,"Cucer Sandevo",
ML-1,1728,ML,"Kayes",
ML-2,1729,ML,"Koulikoro",
ML-3,1730,ML,"Sikasso",
ML-4,1731,ML,"Segou",
ML-5,1732,ML,"Mopti",
ML-6,1733,ML,"Tombouctou",
ML-7,1734,ML,"Gao",
ML-8,1735,ML,"Kidal",
ML-BKO,1736,ML,"Bamako",
MM-01,1737,MM,"Sagaing",
MM-02,1738,MM,"Bago",
MM-03,1739,MM,"Magway",
MM-04,1740,MM,"Mandalay",
MM-05,1741,MM,"Tanintharyi",
MM-06,1742,MM,"Yangon",
MM-07,1743,MM,"Ayeyarwady",
MM-11,1744,MM,"Kachin",
MM-12,1745,MM,"Kayah",
MM-13,1746,MM,"Kayin",
MM-14,1747,MM,"Chin",
MM-15,1748,MM,"Mon",
MM-16,1749,MM,"Rakhine",
MM-17,1750,MM,"Shan",
MM-18,1751,MM,"Nay Pyi Taw",
MN-035,1752,MN,"Orhon",
MN-037,1753,MN,"Darhan uul",
MN-039,1754,MN,"Hentiy",
MN-043,1755,MN,"Hovd",
MN-047,1756,MN,"Tov",
MN-053,1757,MN,"Omnogovi",
MN-055,1758,MN,"Ovorhangay",
MN-061,1759,MN,"Dornod",
MN-063,1760,MN,"Dornogovi",
MN-065,1761,MN,"Govi-Altay",
MN-067,1762,MN,"Bulgan",
MN-069,1763,MN,"Bayanhongor",
MN-1,1764,MN,"Ulaanbaatar",
MR-02,1765,MR,"Hodh el Gharbi",
MR-03,1766,MR,"Assaba",
