REGIONCODE,ID,SUBCONTINENTCODE,REGIONNAME,SUBCONTINENTNAME,CONTINENTCODE,CONTINENTNAME,ACTIVESTATUS,LOAD_TIME,LANGUAGE_KEY
AUQLD,1,OCEA,Queensland,Oceania,OC,Oceania,1,,3
US_FL,2,NAME,Florida,Amèrica del nord,AM,Amèrica,1,,3
BR_PR,3,SAME,Paranà,Sud Amèrica,AM,Amèrica,1,,3
DENOR,4,WEUR,Renània del Nord-Westfalia,Europa occidental,EU,Europa,1,,3
BR_TO,5,SAME,Tocantins,Sud Amèrica,AM,Amèrica,1,,3
CNXIN,6,NEAS,Xinjiang,Nord-est asiàtic,AS,Àsia,1,,3
BR_MG,7,SAME,Minas Gerais,Sud Amèrica,AM,Amèrica,1,,3
ESCAM,8,SEUR,Castella la Manxa,Sud d'Europa,EU,Europa,1,,3
US_PA,9,NAME,Pennsilvània,Amèrica del nord,AM,Amèrica,1,,3
US_TX,10,NAME,Texas,Amèrica del nord,AM,Amèrica,1,,3
US_AK,11,NAME,Alaska,Amèrica del nord,AM,Amèrica,1,,3
US_NM,12,NAME,Nou Mèxic,Amèrica del nord,AM,Amèrica,1,,3
US_SD,13,NAME,Dakota del Sud,Amèrica del nord,AM,Amèrica,1,,3
AUNSW,14,OCEA,Nova Gal·les del Sud,Oceania,OC,Oceania,1,,3
US_GA,15,NAME,Geòrgia,Amèrica del nord,AM,Amèrica,1,,3
GBSCO,16,NEUR,Escòcia,Nord d'Europa,EU,Europa,1,,3
US_MI,17,NAME,Michigan,Amèrica del nord,AM,Amèrica,1,,3
ESCAN,18,SEUR,Illes Canàries,Sud d'Europa,EU,Europa,1,,3
GBDEP,19,NEUR,Dependències de la Corona del Regne Unit,Nord d'Europa,EU,Europa,1,,3
US_MA,20,NAME,Massachusetts,Amèrica del nord,AM,Amèrica,1,,3
ESVAL,21,SEUR,Comunitat Valenciana,Sud d'Europa,EU,Europa,1,,3
US_CA,22,NAME,Califòrnia,Amèrica del nord,AM,Amèrica,1,,3
CNGUI,23,NEAS,Guizhou,Nord-est asiàtic,AS,Àsia,1,,3
US_NJ,24,NAME,Nova Jersey,Amèrica del nord,AM,Amèrica,1,,3
AUSOA,25,OCEA,Austràlia del Sud,Oceania,OC,Oceania,1,,3
US_OK,26,NAME,Oklahoma,Amèrica del nord,AM,Amèrica,1,,3
US_SC,27,NAME,Carolina del Sud,Amèrica del nord,AM,Amèrica,1,,3
US_MD,28,NAME,Maryland,Amèrica del nord,AM,Amèrica,1,,3
CNGXI,29,NEAS,Guangxi,Nord-est asiàtic,AS,Àsia,1,,3
ESAND,30,SEUR,Andalusia,Sud d'Europa,EU,Europa,1,,3
US_MN,31,NAME,Minnesota,Amèrica del nord,AM,Amèrica,1,,3
AR_BA,32,SAME,bons Aires,Sud Amèrica,AM,Amèrica,1,,3
CNMOG,33,NEAS,Mongòlia Interior,Nord-est asiàtic,AS,Àsia,1,,3
US_LA,34,NAME,Louisiana,Amèrica del nord,AM,Amèrica,1,,3
AR_MD,35,SAME,Mendoza,Sud Amèrica,AM,Amèrica,1,,3
US_CO,36,NAME,Colorado,Amèrica del nord,AM,Amèrica,1,,3
BR_MT,37,SAME,Mato Grosso,Sud Amèrica,AM,Amèrica,1,,3
US_NH,38,NAME,Nova Hampshire,Amèrica del nord,AM,Amèrica,1,,3
US_WY,39,NAME,Wyoming,Amèrica del nord,AM,Amèrica,1,,3
DEBAV,40,WEUR,Baviera,Europa occidental,EU,Europa,1,,3
DELOW,41,WEUR,Baixa Saxònia,Europa occidental,EU,Europa,1,,3
FRAQU,42,WEUR,Nova Aquitània,Europa occidental,EU,Europa,1,,3
US_AR,43,NAME,Arkansas,Amèrica del nord,AM,Amèrica,1,,3
INTTH,44,SASI,Uttar Pradesh,Àsia del Sud,AS,Àsia,1,,3
INLAK,45,SASI,Lakshadweep,Àsia del Sud,AS,Àsia,1,,3
AUWEA,46,OCEA,Austràlia Occidental,Oceania,OC,Oceania,1,,3
US_NE,47,NAME,Nebraska,Amèrica del nord,AM,Amèrica,1,,3
US_WI,48,NAME,Wisconsin,Amèrica del nord,AM,Amèrica,1,,3
CNSIC,49,NEAS,Sichuan,Nord-est asiàtic,AS,Àsia,1,,3
US_OR,50,NAME,Oregon,Amèrica del nord,AM,Amèrica,1,,3
FRAUR,51,WEUR,Alvèrnia i Roine-Alps,Europa occidental,EU,Europa,1,,3
US_IN,52,NAME,Indiana,Amèrica del nord,AM,Amèrica,1,,3
BR_SP,53,SAME,Sao Paulo,Sud Amèrica,AM,Amèrica,1,,3
US_IA,54,NAME,Iowa,Amèrica del nord,AM,Amèrica,1,,3
INPUN,55,SASI,Panjab,Àsia del Sud,AS,Àsia,1,,3
US_AL,56,NAME,Alabama,Amèrica del nord,AM,Amèrica,1,,3
FRPRO,57,WEUR,Provença Alps Costa Blava,Europa occidental,EU,Europa,1,,3
US_MO,58,NAME,Missouri,Amèrica del nord,AM,Amèrica,1,,3
FRCOR,59,WEUR,Còrsega,Europa occidental,EU,Europa,1,,3
INMIZ,60,SASI,Mizoram,Àsia del Sud,AS,Àsia,1,,3
BR_SE,61,SAME,Sergipe,Sud Amèrica,AM,Amèrica,1,,3
CNSHA,62,NEAS,Shaanxi,Nord-est asiàtic,AS,Àsia,1,,3
US_OH,63,NAME,Ohio,Amèrica del nord,AM,Amèrica,1,,3
INMAH,64,SASI,Maharashtra,Àsia del Sud,AS,Àsia,1,,3
CA_QC,65,NAME,Quebec,Amèrica del nord,AM,Amèrica,1,,3
US_NY,66,NAME,Nova York,Amèrica del nord,AM,Amèrica,1,,3
US_IL,67,NAME,Illinois,Amèrica del nord,AM,Amèrica,1,,3
BR_RS,68,SAME,Rio Grande do Sul,Sud Amèrica,AM,Amèrica,1,,3
BR_PA,69,SAME,Paràgraf,Sud Amèrica,AM,Amèrica,1,,3
US_WA,70,NAME,Washington,Amèrica del nord,AM,Amèrica,1,,3
INGUJ,71,SASI,Gujarat,Àsia del Sud,AS,Àsia,1,,3
AUNOT,72,OCEA,Territori del Nord,Oceania,OC,Oceania,1,,3
FRPAY,73,WEUR,País del Loira,Europa occidental,EU,Europa,1,,3
US_KS,74,NAME,Kansas,Amèrica del nord,AM,Amèrica,1,,3
DETHU,75,WEUR,Turíngia,Europa occidental,EU,Europa,1,,3
CNLIA,76,NEAS,Liaoning,Nord-est asiàtic,AS,Àsia,1,,3
AR_CR,77,SAME,Corrents,Sud Amèrica,AM,Amèrica,1,,3
US_VA,78,NAME,Virgínia,Amèrica del nord,AM,Amèrica,1,,3
CNANH,79,NEAS,Anhui,Nord-est asiàtic,AS,Àsia,1,,3
BR_AL,80,SAME,Alagoas,Sud Amèrica,AM,Amèrica,1,,3
BR_GO,81,SAME,Goias,Sud Amèrica,AM,Amèrica,1,,3
US_TN,82,NAME,Tennessee,Amèrica del nord,AM,Amèrica,1,,3
BR_MA,83,SAME,Maranhao,Sud Amèrica,AM,Amèrica,1,,3
AR_NE,84,SAME,Neuquen,Sud Amèrica,AM,Amèrica,1,,3
BR_RO,85,SAME,Rondònia,Sud Amèrica,AM,Amèrica,1,,3
AR_CB,86,SAME,Chubut,Sud Amèrica,AM,Amèrica,1,,3
BR_CE,87,SAME,Ceara,Sud Amèrica,AM,Amèrica,1,,3
AUVIC,88,OCEA,Victòria,Oceania,OC,Oceania,1,,3
US_NV,89,NAME,Nevada,Amèrica del nord,AM,Amèrica,1,,3
US_ND,90,NAME,Dakota del Nord,Amèrica del nord,AM,Amèrica,1,,3
FRBUR,91,WEUR,Borgonya,Europa occidental,EU,Europa,1,,3
US_ME,92,NAME,Maine,Amèrica del nord,AM,Amèrica,1,,3
ESCAL,93,SEUR,Castella i Lleó,Sud d'Europa,EU,Europa,1,,3
US_NC,94,NAME,Carolina del Nord,Amèrica del nord,AM,Amèrica,1,,3
US_AZ,95,NAME,Arizona,Amèrica del nord,AM,Amèrica,1,,3
US_HI,96,NAME,Hawaii,Amèrica del nord,AM,Amèrica,1,,3
BR_SC,97,SAME,Santa Catarina,Sud Amèrica,AM,Amèrica,1,,3
CNNAN,98,NEAS,Henan,Nord-est asiàtic,AS,Àsia,1,,3
CNJIA,99,NEAS,Jiangsu,Nord-est asiàtic,AS,Àsia,1,,3
CNGUA,100,NEAS,Guangdong,Nord-est asiàtic,AS,Àsia,1,,3
CNHAN,101,NEAS,Hainan,Nord-est asiàtic,AS,Àsia,1,,3
BR_AM,102,SAME,Amazones,Sud Amèrica,AM,Amèrica,1,,3
DEMEC,103,WEUR,Mecklenburg Vorpommern,Europa occidental,EU,Europa,1,,3
INODI,104,SASI,Odisha,Àsia del Sud,AS,Àsia,1,,3
DERHI,105,WEUR,Renània Palatinat,Europa occidental,EU,Europa,1,,3
GBENG,106,NEUR,Anglaterra,Nord d'Europa,EU,Europa,1,,3
US_UT,107,NAME,Utah,Amèrica del nord,AM,Amèrica,1,,3
ESCAT,108,SEUR,Catalunya,Sud d'Europa,EU,Europa,1,,3
US_CT,109,NAME,Connecticut,Amèrica del nord,AM,Amèrica,1,,3
US_MT,110,NAME,Montana,Amèrica del nord,AM,Amèrica,1,,3
INDNI,111,SASI,Andhra Pradesh,Àsia del Sud,AS,Àsia,1,,3
INKAR,112,SASI,Karnataka,Àsia del Sud,AS,Àsia,1,,3
DEBER,113,WEUR,Berlín,Europa occidental,EU,Europa,1,,3
FRBRI,114,WEUR,Bretanya,Europa occidental,EU,Europa,1,,3
ESBAS,115,SEUR,País Basc,Sud d'Europa,EU,Europa,1,,3
CNYUN,116,NEAS,Yunnan,Nord-est asiàtic,AS,Àsia,1,,3
GBIRL,117,NEUR,Irlanda del Nord,Nord d'Europa,EU,Europa,1,,3
INMAD,118,SASI,Madhya Pradesh,Àsia del Sud,AS,Àsia,1,,3
US_RI,119,NAME,Rhode Island,Amèrica del nord,AM,Amèrica,1,,3
US_MS,120,NAME,Mississipí,Amèrica del nord,AM,Amèrica,1,,3
CNBEJ,121,NEAS,Pequín,Nord-est asiàtic,AS,Àsia,1,,3
ESEXT,122,SEUR,Extremadura,Sud d'Europa,EU,Europa,1,,3
INRAJ,123,SASI,Rajasthan,Àsia del Sud,AS,Àsia,1,,3
US_WV,124,NAME,Virgínia Occidental,Amèrica del nord,AM,Amèrica,1,,3
BR_BA,125,SAME,Bahia,Sud Amèrica,AM,Amèrica,1,,3
US_DC,126,NAME,Districte de Columbia,Amèrica del nord,AM,Amèrica,1,,3
US_ID,127,NAME,Idaho,Amèrica del nord,AM,Amèrica,1,,3
FRFRA,128,WEUR,Franche Comte,Europa occidental,EU,Europa,1,,3
FRCEN,129,WEUR,Centre,Europa occidental,EU,Europa,1,,3
CNHEB,130,NEAS,Hebei,Nord-est asiàtic,AS,Àsia,1,,3
CNTIB,131,NEAS,Tibet,Nord-est asiàtic,AS,Àsia,1,,3
AR_RN,132,SAME,Rio Negro,Sud Amèrica,AM,Amèrica,1,,3
DEBRE,133,WEUR,Bremen,Europa occidental,EU,Europa,1,,3
US_KY,134,NAME,Kentucky,Amèrica del nord,AM,Amèrica,1,,3
BR_DF,135,SAME,Districte Federal,Sud Amèrica,AM,Amèrica,1,,3
US_VT,136,NAME,Vermont,Amèrica del nord,AM,Amèrica,1,,3
FRILE,137,WEUR,Illa de França,Europa occidental,EU,Europa,1,,3
BR_RR,138,SAME,Roraima,Sud Amèrica,AM,Amèrica,1,,3
AUTAS,139,OCEA,Tasmània,Oceania,OC,Oceania,1,,3
FRUPP,140,WEUR,Alts de França,Europa occidental,EU,Europa,1,,3
BR_MS,141,SAME,Mato Grosso do Sul,Sud Amèrica,AM,Amèrica,1,,3
BR_RJ,142,SAME,riu de Janeiro,Sud Amèrica,AM,Amèrica,1,,3
FRLAN,143,WEUR,Occitània,Europa occidental,EU,Europa,1,,3
BR_PE,144,SAME,Pernambuco,Sud Amèrica,AM,Amèrica,1,,3
INAND,145,SASI,Illes Andaman i Nicobar,Àsia del Sud,AS,Àsia,1,,3
AUACT,146,OCEA,Territori de la capital d'Austràlia,Oceania,OC,Oceania,1,,3
DEBRA,147,WEUR,Brandenburg,Europa occidental,EU,Europa,1,,3
CNDON,148,NEAS,Shandong,Nord-est asiàtic,AS,Àsia,1,,3
INKER,149,SASI,Kerala,Àsia del Sud,AS,Àsia,1,,3
INWES,150,SASI,Bengala Occidental,Àsia del Sud,AS,Àsia,1,,3
BR_ES,151,SAME,Esperit Sant,Sud Amèrica,AM,Amèrica,1,,3
FRNOR,152,WEUR,Normandia,Europa occidental,EU,Europa,1,,3
CA_AB,153,NAME,Alberta,Amèrica del nord,AM,Amèrica,1,,3
CA_BC,154,NAME,Columbia Britànica,Amèrica del nord,AM,Amèrica,1,,3
GBWAL,155,NEUR,Gal·les,Nord d'Europa,EU,Europa,1,,3
CNHUN,156,NEAS,Hunan,Nord-est asiàtic,AS,Àsia,1,,3
CNJIL,157,NEAS,Jilin,Nord-est asiàtic,AS,Àsia,1,,3
CNNXI,158,NEAS,Shanxi,Nord-est asiàtic,AS,Àsia,1,,3
INTAM,159,SASI,Tamil Nadu,Àsia del Sud,AS,Àsia,1,,3
CNCHO,160,NEAS,Chongqing,Nord-est asiàtic,AS,Àsia,1,,3
AR_FO,161,SAME,Formosa,Sud Amèrica,AM,Amèrica,1,,3
FRALS,162,WEUR,Grand-Est,Europa occidental,EU,Europa,1,,3
AR_CH,163,SAME,Chaco,Sud Amèrica,AM,Amèrica,1,,3
AR_ER,164,SAME,Entre Rios,Sud Amèrica,AM,Amèrica,1,,3
AR_CD,165,SAME,Còrdova,Sud Amèrica,AM,Amèrica,1,,3
BR_PB,166,SAME,Paraiba,Sud Amèrica,AM,Amèrica,1,,3
AR_SF,167,SAME,Santa Fe,Sud Amèrica,AM,Amèrica,1,,3
DEXAE,168,WEUR,Saxònia-Anhalt,Europa occidental,EU,Europa,1,,3
AR_CA,169,SAME,Catamarca,Sud Amèrica,AM,Amèrica,1,,3
AR_SC,170,SAME,Santa Creu,Sud Amèrica,AM,Amèrica,1,,3
BR_AC,171,SAME,Acre,Sud Amèrica,AM,Amèrica,1,,3
CNHEN,172,NEAS,Heilongjiang,Nord-est asiàtic,AS,Àsia,1,,3
CA_NT,173,NAME,Territoris del Nord-oest,Amèrica del nord,AM,Amèrica,1,,3
INJHA,174,SASI,Jharkhand,Àsia del Sud,AS,Àsia,1,,3
INBIH,175,SASI,Bihar,Àsia del Sud,AS,Àsia,1,,3
INUTT,176,SASI,Uttrakhand,Àsia del Sud,AS,Àsia,1,,3
INDEL,177,SASI,Delhi,Àsia del Sud,AS,Àsia,1,,3
INARU,178,SASI,Arunachal Pradesh,Àsia del Sud,AS,Àsia,1,,3
CNZHE,179,NEAS,Zhejiang,Nord-est asiàtic,AS,Àsia,1,,3
INHIM,180,SASI,Himachal Pradesh,Àsia del Sud,AS,Àsia,1,,3
ESCTB,181,SEUR,Cantàbria,Sud d'Europa,EU,Europa,1,,3
INASS,182,SASI,Assam,Àsia del Sud,AS,Àsia,1,,3
INDAM,183,SASI,Daman i Diu,Àsia del Sud,AS,Àsia,1,,3
INNAG,184,SASI,Nagaland,Àsia del Sud,AS,Àsia,1,,3
CNGAN,185,NEAS,Gansu,Nord-est asiàtic,AS,Àsia,1,,3
US_DE,186,NAME,Delaware,Amèrica del nord,AM,Amèrica,1,,3
DESAX,187,WEUR,Saxònia,Europa occidental,EU,Europa,1,,3
ESNAV,188,SEUR,Navarra,Sud d'Europa,EU,Europa,1,,3
CNHUB,189,NEAS,Hubei,Nord-est asiàtic,AS,Àsia,1,,3
AR_MI,190,SAME,Missions,Sud Amèrica,AM,Amèrica,1,,3
ESMUR,191,SEUR,Múrcia,Sud d'Europa,EU,Europa,1,,3
DESCH,192,WEUR,Schleswig Holstein,Europa occidental,EU,Europa,1,,3
DEBAD,193,WEUR,Baden Württemberg,Europa occidental,EU,Europa,1,,3
BR_PI,194,SAME,Piaui,Sud Amèrica,AM,Amèrica,1,,3
CNFUJ,195,NEAS,Fujian,Nord-est asiàtic,AS,Àsia,1,,3
DEHES,196,WEUR,Hesse,Europa occidental,EU,Europa,1,,3
ESMAD,197,SEUR,Comunitat de Madrid,Sud d'Europa,EU,Europa,1,,3
CNQIN,198,NEAS,Qinghai,Nord-est asiàtic,AS,Àsia,1,,3
INGOA,199,SASI,Goa,Àsia del Sud,AS,Àsia,1,,3
AR_LP,200,SAME,La Pampa,Sud Amèrica,AM,Amèrica,1,,3
CNNIN,201,NEAS,Ningxia,Nord-est asiàtic,AS,Àsia,1,,3
DEHAM,202,WEUR,Hamburg,Europa occidental,EU,Europa,1,,3
ESARA,203,SEUR,Aragó,Sud d'Europa,EU,Europa,1,,3
INHAR,204,SASI,Haryana,Àsia del Sud,AS,Àsia,1,,3
ESBAL,205,SEUR,Illes Balears,Sud d'Europa,EU,Europa,1,,3
CA_MB,206,NAME,Manitoba,Amèrica del nord,AM,Amèrica,1,,3
INMAN,207,SASI,Manipur,Àsia del Sud,AS,Àsia,1,,3
AR_LR,208,SAME,La Rioja,Sud Amèrica,AM,Amèrica,1,,3
INTRI,209,SASI,Tripura,Àsia del Sud,AS,Àsia,1,,3
INCHA,210,SASI,Chandigarh,Àsia del Sud,AS,Àsia,1,,3
INJAM,211,SASI,Jammu i Caixmir,Àsia del Sud,AS,Àsia,1,,3
ESGAL,212,SEUR,Galícia,Sud d'Europa,EU,Europa,1,,3
ESCEU,213,SEUR,Ceuta,Sud d'Europa,EU,Europa,1,,3
CNJXI,214,NEAS,Jiangxi,Nord-est asiàtic,AS,Àsia,1,,3
INCHH,215,SASI,Chhattisgarh,Àsia del Sud,AS,Àsia,1,,3
CA_NU,216,NAME,Nunavut,Amèrica del nord,AM,Amèrica,1,,3
AR_PJ,217,SAME,Jujuy,Sud Amèrica,AM,Amèrica,1,,3
CA_ON,218,NAME,Ontario,Amèrica del nord,AM,Amèrica,1,,3
ESRIO,219,SEUR,La Rioja,Sud d'Europa,EU,Europa,1,,3
AR_SL,220,SAME,Sant Lluís,Sud Amèrica,AM,Amèrica,1,,3
BR_AP,221,SAME,Amapa,Sud Amèrica,AM,Amèrica,1,,3
ESMEL,222,SEUR,Melilla,Sud d'Europa,EU,Europa,1,,3
BR_RN,223,SAME,Rio Grande do Norte,Sud Amèrica,AM,Amèrica,1,,3
AR_SA,224,SAME,Salta,Sud Amèrica,AM,Amèrica,1,,3
ESAST,225,SEUR,Astúries,Sud d'Europa,EU,Europa,1,,3
INPUD,226,SASI,Pondicherry,Àsia del Sud,AS,Àsia,1,,3
CNSAN,227,NEAS,Xangai,Nord-est asiàtic,AS,Àsia,1,,3
INSIK,228,SASI,Sikkim,Àsia del Sud,AS,Àsia,1,,3
DESAA,229,WEUR,Sarre,Europa occidental,EU,Europa,1,,3
DEGEN,230,WEUR,Genèric,Europa occidental,EU,Europa,1,,3
AR_TF,231,SAME,Terra del Foc,Sud Amèrica,AM,Amèrica,1,,3
AR_SE,232,SAME,Santiago del Estero,Sud Amèrica,AM,Amèrica,1,,3
INMEG,233,SASI,Meghalaya,Àsia del Sud,AS,Àsia,1,,3
CNTIA,234,NEAS,Tianjin,Nord-est asiàtic,AS,Àsia,1,,3
AR_TU,235,SAME,Tucuman,Sud Amèrica,AM,Amèrica,1,,3
AR_SJ,236,SAME,Sant Joan,Sud Amèrica,AM,Amèrica,1,,3
CA_NB,237,NAME,Nou Brunswick,Amèrica del nord,AM,Amèrica,1,,3
CA_SK,238,NAME,Saskatchewan,Amèrica del nord,AM,Amèrica,1,,3
CA_NS,239,NAME,Nova Escocia,Amèrica del nord,AM,Amèrica,1,,3
CA_YT,240,NAME,Yukon,Amèrica del nord,AM,Amèrica,1,,3
CA_NL,241,NAME,Terranova i Labrador,Amèrica del nord,AM,Amèrica,1,,3
CA_PE,242,NAME,Illa del Príncep Eduard,Amèrica del nord,AM,Amèrica,1,,3
00_00,243,0000,Desconegut,Desconegut,00,Desconegut,1,,3

